Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2772407087021001291,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772407087021001291,"672 631,77 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.С. ЮДИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""",7724070870,11.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР-КОМ"" (ООО ""ИНТЕР-КОМ"")",5252022548,"606100, ОБЛ НИЖЕГОРОДСКАЯ 52, Г ПАВЛОВО, УЛ ПОЛЕВАЯ, 2, 22",+7 (831) 715-22-73,itcomexpo@yandex.ru,
№ 2770302732021000297,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770302732021000297,"9 997 673,35 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 9 ИМ. Г.Н. СПЕРАНСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДГКБ № 9 ИМ. Г.Н. СПЕРАНСКОГО ДЗМ""",7703027320,09.11.21,21.10.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНКОР"" (ООО ""АНКОР"")",7725774893,"115419, Г. МОСКВА 77, УЛ. ОРДЖОНИКИДЗЕ, Д. 11, СТР. 10, ЭТАЖ 1, ПОМЕЩ. V КОМ. 11",+7 (495) 333-90-10,ankor_med@mail.ru,
№ 2771978879221000203,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771978879221000203,"1 030 015,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕ ДОРОГИ ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА""","ГБУ ""АВТОМОБИЛЬНЫЕ ДОРОГИ ВАО""",7719788792,01.01.22,31.12.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (495) 981-98-19,info@mosenergosbyt.ru,
№ 2770198948021000011,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770198948021000011,"5 262 125,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ АНАЛИТИЧЕСКИЙ ЦЕНТР В СФЕРЕ ГОРОДСКОГО ХОЗЯЙСТВА""","ГБУ ""МАЦ""",7701989480,01.12.21,15.11.22,"РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ ТЕАТРАЛЬНЫМ ДЕЯТЕЛЯМ ""ЦЕНТРАЛЬНЫЙ ДОМ АКТЁРА ИМ. А.А. ЯБЛОЧКИНОЙ"" (ЦЕНТРАЛЬНЫЙ ДОМ АКТЁРА ИМ. А.А. ЯБЛОЧКИНОЙ ИЛИ ЦДА ИМ. А.А. ЯБЛОЧКИНОЙ)",7704024890,"119002, Г МОСКВА 77, УЛ АРБАТ, 35",+7 (499) 248-36-24,rfcda@ yandex.ru,
№ 2771548857221000121,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771548857221000121,"4 478 942,16 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛИАНОЗОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ЛИАНОЗОВО""",7715488572,01.01.22,31.12.24,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ДОМСЕРВИС"" (ООО УК ""ДОМСЕРВИС"")",7709700887,"125239, Г МОСКВА 77, ПРОЕЗД ЧЕРЕПАНОВЫХ, ДОМ 18, КОМ 1 ЭТАЖ 1",+7 (499) 153-12-97,domservisuk@gmail.com,
№ 2770261985221000075,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770261985221000075,"1 399 457,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""ТЕАТР ""ШКОЛА ДРАМАТИЧЕСКОГО ИСКУССТВА""","ГБУК Г. МОСКВЫ ""ШКОЛА ДРАМАТИЧЕСКОГО ИСКУССТВА""",7702619852,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТУДИЯ 2А"" (ООО ""СТУДИЯ 2А"")",5021020504,"142181, ОБЛ МОСКОВСКАЯ 50, Г ПОДОЛЬСК, УЛ ЗАВОДСКАЯ (КЛИМОВСК МКР.), ДОМ 2И, ЗДАНИЕ КОРПУС 41, КОМНАТА 123",+7 (916) 930-15-00,di2@bk.ru,
№ 1770405509421000507,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770405509421000507,"2 954 169,50 ₽",ФЕДЕРАЛЬНАЯ СЛУЖБА ОХРАНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,ФСО РОССИИ,7704055094,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАРТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАРТ"")",5041017965,"143960, ОБЛ МОСКОВСКАЯ 50, Г РЕУТОВ, УЛ СОВЕТСКАЯ, ДОМ 7, ПОМЕЩЕНИЕ 1",7-985-9998867,nfn10@mail.ru,
№ 1770405509421000506,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770405509421000506,"2 060 000,00 ₽",ФЕДЕРАЛЬНАЯ СЛУЖБА ОХРАНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,ФСО РОССИИ,7704055094,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАМИКС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАМИКС"")",7743289699,"107553, Г МОСКВА 77, УЛ ЧЕРКИЗОВСКАЯ Б., ДОМ 24А, СТРОЕНИЕ 1, ЭТАЖ/ОФИС 3/321",7-905-7809979,dmitry@kramix.ru,
№ 2772009352321001260,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772009352321001260,"3 440 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ КЛИНИЧЕСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ИМЕНИ А.С. ЛОГИНОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГБУЗ МКНЦ ИМЕНИ А.С. ЛОГИНОВА ДЗМ,7720093523,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМЕГА-ФАРМ"" (ООО ""ОМЕГА-ФАРМ"")",7725408858,"121096, Г МОСКВА 77, УЛ ВАСИЛИСЫ КОЖИНОЙ, ДОМ 1, ЭТ 3 ПОМ I КОМ 354",+7 (495) 797-86-86,bakanova.o.s@366.ru,
№ 2502400148221000392,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2502400148221000392,"98 274 792,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКАЯ ГОРОДСКАЯ ОНКОЛОГИЧЕСКАЯ БОЛЬНИЦА № 62 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""МГОБ № 62 ДЗМ""",5024001482,01.01.22,31.07.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМСТАНДАРТ"" (АО ""ФАРМСТАНДАРТ"")",274110679,"141701, ОБЛ МОСКОВСКАЯ 50, Г ДОЛГОПРУДНЫЙ, ПРОЕЗД ЛИХАЧЕВСКИЙ, 5, ""Б""",+7 (495) 970-00-30,ookiryushina@pharmstd.ru,
№ 2771904680021000630,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771904680021000630,"2 898 435,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ Ф.И. ИНОЗЕМЦЕВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. Ф.И. ИНОЗЕМЦЕВА ДЗМ""",7719046800,09.11.21,31.12.21,КАЗАКОВА ЕКАТЕРИНА ЮРЬЕВНАИндивидуальный предприниматель,774331456525,Г МОСКВА 77,+7 (926) 237-84-94,ek5757308@gmail.com,
№ 3500710213821000057,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500710213821000057,"7 363 657,24 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖКХ И БЛАГОУСТРОЙСТВО"" ДМИТРОВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ","МБУ ""ЖКХ И БЛАГОУСТРОЙСТВО""",5007102138,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОКРАТ"" (ООО ""ТЕХНОКРАТ"")",6409003636,"410002, ОБЛ САРАТОВСКАЯ 64, Г САРАТОВ, УЛ ИМ ЧЕРНЫШЕВСКОГО Н.Г., ДОМ 203, ОФИС 413",79033809817,alexey-durnov@yandex.ru,
№ 2772505632421000141,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772505632421000141,"1 072 346,89 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""НАУЧНО-ПРАКТИЧЕСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ЦЕНТР ИМЕНИ З.П. СОЛОВЬЕВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГБУЗ НПЦ ИМ. СОЛОВЬЕВА ДЗМ,7725056324,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАЙТ"" (ООО ""ВАЙТ"")",7720378222,"109316, Г. МОСКВА 77, УЛ. ТАЛАЛИХИНА, Д. 41, СТР. 9, ПОДВ.ПОМЕЩ II КОМ. 1",79265549191,laravto@mail.ru,
№ 3503408266721000086,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3503408266721000086,"3 857 728,00 ₽",АДМИНИСТРАЦИЯ ОРЕХОВО-ЗУЕВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ ОРЕХОВО-ЗУЕВСКОГО ГОРОДСКОГО ОКРУГА,5034082667,08.11.21,31.12.21,ИЗМАЙЛОВ ИЛЬДАР РАШИДОВИЧИндивидуальный предприниматель,503404715525,"ОБЛ МОСКОВСКАЯ 50, Г ОРЕХОВО-ЗУЕВО",7 496 412 76 22,len97_vashdom@bk.ru,
№ 1770585133121000266,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770585133121000266,"2 865 048,00 ₽",МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,МИНКУЛЬТУРЫ РОССИИ,7705851331,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕНДЕР СМАРТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕНДЕР СМАРТ"")",7751198131,"108811, Г. МОСКВА 77, КМ КИЕВСКОЕ ШОССЕ 22-Й (П МОСКОВСКИЙ), ДВЛД. 4, СТР. 5, ЭТАЖ 5 ПОМЕЩ. 502Е ОФИС 14",7-966-1001009,bgm.russ@gmail.com,
№ 3507600024021000185,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3507600024021000185,"1 910 395,00 ₽",АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА СЕРЕБРЯНЫЕ ПРУДЫ МОСКОВСКОЙ ОБЛАСТИ,,5076000240,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД КОНСОЛЕЙ"" (ООО ""ЗАВОД КОНСОЛЕЙ"")",4716044704,"187021, ОБЛ ЛЕНИНГРАДСКАЯ 47, Р-Н ТОСНЕНСКИЙ, ГП ФЁДОРОВСКОЕ, ПРОЕЗД 1-Й ВОСТОЧНЫЙ, ДОМ 3",7-495-5501709,zavod@mail.ru,
№ 1772908209021000497,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772908209021000497,"1 489 841,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА""","МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ",7729082090,09.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДМАГ-Т"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДМАГ-Т"")",1650400872,"423823, РЕСП. ТАТАРСТАН 16, Г. Набережные Челны, Б-Р БЕРДАХА, Д. 4, КВ. 210",7-963-5646716,medmag.t2020@gmail.com,
№ 3500804311821000012,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500804311821000012,"1 016 870,00 ₽","АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ПАРКОВ ГОРОДСКОГО ОКРУГА ДОЛГОПРУДНЫЙ""","АУ ""ОДП Г.О. ДОЛГОПРУДНЫЙ""",5008043118,09.11.21,31.12.21,КУЧЕР АЛЕКСАНДР ЮРЬЕВИЧИндивидуальный предприниматель,631815498900,"Область Мурманская 51, Город Апатиты",7-499-1628125,Karenina9@yandex.ru,
№ 1770640629121000111,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770640629121000111,"735 494,88 ₽",ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО ТЕХНИЧЕСКОМУ РЕГУЛИРОВАНИЮ И МЕТРОЛОГИИ,РОССТАНДАРТ,7706406291,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТОС.МЕТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТОС.МЕТ"")",5075038145,"143103, ОБЛ МОСКОВСКАЯ 50, Г РУЗА, Ш ВОЛОКОЛАМСКОЕ, ДОМ 17, КАБ. 11",7-499-9752052,metos.met@mail.ru,
№ 3503408266721000087,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3503408266721000087,"2 157 526,80 ₽",АДМИНИСТРАЦИЯ ОРЕХОВО-ЗУЕВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ ОРЕХОВО-ЗУЕВСКОГО ГОРОДСКОГО ОКРУГА,5034082667,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТ-МАКСИМУС"" (ООО ""ИНВЕСТ-МАКСИМУС"")",5031122520,"142400, ОБЛ МОСКОВСКАЯ 50, Г НОГИНСК, УЛ 3-ГО ИНТЕРНАЦИОНАЛА, ДОМ 44",7-926-2140225,larkina.a@bk.ru,
№ 2772784618021000188,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772784618021000188,"1 704 531,77 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ БУТОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ БУТОВО""",7727846180,08.11.21,31.12.21,САДОВНИКОВА МАРИНА АЛЕКСАНДРОВНАИндивидуальный предприниматель,503611766461,"ОБЛ МОСКОВСКАЯ 50, Г ПОДОЛЬСК",+7 (926) 555-64-79,cropotovdenis@yandex.ru,
№ 3501901372521000011,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501901372521000011,"1 205 714,51 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 17""","МБДОУ ""ДЕТСКИЙ САД № 17""",5019013725,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"" (ООО ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"")",5019028390,"142900, ОБЛ МОСКОВСКАЯ 50, Г КАШИРА, УЛ СОВЕТСКАЯ, ДОМ 28, ПОМЕЩЕНИЕ 39",7-495-737-88-66,or_kash@mail.ru,
№ 2770281924121000020,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770281924121000020,"1 432 704,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""СЕРВИСНЫЙ ЦЕНТР 44""","ГБУ ""СЦ 44""",7702819241,01.01.22,31.12.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
№ 2770769540921000036,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770769540921000036,"588 839,91 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ КОНТРОЛЬНО-МОНИТОРИНГОВЫЙ ЦЕНТР НЕДВИЖИМОСТИ""","ГБУ ""МКМЦН""",7707695409,08.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАРЫЙ МАСТЕР"" (ООО ""СТАРЫЙ МАСТЕР"")",7727764033,"119285, Г. МОСКВА 77, УЛ. МОСФИЛЬМОВСКАЯ, Д. 22, АНТРЕСОЛЬ ЭТАЖ/ПОМЕЩ. 1/II КОМ. 1",+7 (900) 116-96-94,youryani1996@icloud.com,
№ 2771609955421001240,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771609955421001240,"3 618 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №40 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ №40 ДЗМ""",7716099554,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАГНОСТИЧЕСКИЕ СИСТЕМЫ"" (ООО ""ДИАГНОСТИЧЕСКИЕ СИСТЕМЫ"")",7751189024,"108811, Г МОСКВА 77, ПОС. МОСКОВСКИЙ, Д САЛАРЬЕВО, УЛ 2-Я НОВАЯ, ДОМ 23А, ОФИС 305/1",+7 (925) 002-28-78,sale@dia-systems.ru,
№ 2502801493321000025,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2502801493321000025,"769 436,82 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОЖАЙСКИЙ ТЕХНИКУМ""","ГБПОУ МО ""МОЖАЙСКИЙ ТЕХНИКУМ""",5028014933,01.01.22,31.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУЗСКИЙ РЕГИОНАЛЬНЫЙ ОПЕРАТОР"" (ООО ""РУЗСКИЙ РО"")",5017115922,"143500, ОБЛ МОСКОВСКАЯ 50, Г ИСТРА, УЛ МОСКОВСКАЯ, ДОМ 48, ОФИС 37",7-499-1102753,srodionova@regop.ru,
№ 2772407087021001290,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772407087021001290,"7 063 750,20 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.С. ЮДИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""",7724070870,09.11.21,30.12.21,АНОХИНА ТАТЬЯНА ВАСИЛЬЕВНАИндивидуальный предприниматель,312001842907,Г МОСКВА 77,+7 (495) 698-33-75,t_chemus@mail.ru,
№ 2771093656621000041,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771093656621000041,"4 865 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКИЙ ЦЕНТР ПОЖАРНОЙ И АВАРИЙНО-СПАСАТЕЛЬНОЙ ТЕХНИКИ""","ГБУ ""ПТЦ ПАСТ""",7710936566,10.11.21,25.12.21,БАКУЛИН АНДРЕЙ МИХАЙЛОВИЧИндивидуальный предприниматель,561208087237,"Область Московская 50, Город Можайск, Деревня Ваулино",+7 (916) 694-38-09,kta_005@mail.ru,
№ 3507403201321000018,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3507403201321000018,"2 231 186,10 ₽",АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ КЛЕНОВСКОЕ,,5074032013,10.11.21,21.01.22,СТЕПАНЕНКО ОЛЕГ КОНСТАНТИНОВИЧИндивидуальный предприниматель,501814697636,"- Москва 77, - Сосенское, - Коммунарка",7-916-4598848,ru-elka@mail.ru,
№ 2772407087021001287,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772407087021001287,"1 974 873,78 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.С. ЮДИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""",7724070870,09.11.21,30.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРВИН"" (ООО ""ИРВИН"")",5027262517,"140000, ОБЛ МОСКОВСКАЯ 50, Г ЛЮБЕРЦЫ, УЛ КОТЕЛЬНИЧЕСКАЯ, ДОМ 13, ЭТАЖ 2, КОМНАТА 7",+7 (499) 426-28-87,tender@irwin.ru,
№ 1503200163021000123,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1503200163021000123,"1 192 303,33 ₽",ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕАБИЛИТАЦИОННЫЙ И УЧЕБНЫЙ ЦЕНТР ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,ФБУ РЕАБИЛИТАЦИОННЫЙ И УЧЕБНЫЙ ЦЕНТР ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,5032001630,10.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПЕРИЯ ТУРИЗМА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПЕРИЯ ТУРИЗМА"")",7715373525,"101000, Г МОСКВА 77, ПЕР АРМЯНСКИЙ, ДОМ 9/1/1, СТРОЕНИЕ 1, ЭТАЖ 1 ПОМЕЩЕНИЕ 111/16",7-495-6433920,info@imto.ru,
