Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2772884861721000160,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772884861721000160,"1 080 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""","ГБУ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",7728848617,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖУЛИТРЕЙД"" (ООО ""ДЖУЛИТРЕЙД"")",9729287171,"119571, Г МОСКВА 77, УЛ АКАДЕМИКА АНОХИНА, ДОМ 60, КВАРТИРА 55",+7 (916) 470-73-91,djulitrade@gmail.com,
№ 2772407846021000208,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772407846021000208,"1 510 179,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""ЦЕНТРАЛИЗОВАННАЯ БИБЛИОТЕЧНАЯ СИСТЕМА ЮЖНОГО АДМИНИСТРАТИВНОГО ОКРУГА""","ГБУК Г. МОСКВЫ ""ЦБС ЮАО""",7724078460,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЗДАТЕЛЬСТВО АСТ"" (ООО ""ИЗДАТЕЛЬСТВО АСТ"")",7710899593,"129085, Г МОСКВА 77, Б-Р ЗВЁЗДНЫЙ, ДОМ 21, СТРОЕНИЕ 1, КОМНАТА 705, ПОМ . I, 7 ЭТАЖ",+7 (499) 951-60-00,s.rozmanov@ast.ru,
№ 3500906719021000084,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500906719021000084,"989 999,48 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ДОМОДЕДОВО ""КОМБИНАТ БЛАГОУСТРОЙСТВА""","МБУ ""КБ""",5009067190,08.11.21,31.12.21,КРЫЛОВ ОЛЕГ ВЯЧЕСЛАВОВИЧИндивидуальный предприниматель,332708085098,"ОБЛ МОСКОВСКАЯ 50, Г ДОМОДЕДОВО",7-909-6419930,89096419930@mail.ru,
№ 1772800895321000708,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772800895321000708,"1 289 648,68 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ДЕТСКОЙ ГЕМАТОЛОГИИ, ОНКОЛОГИИ И ИММУНОЛОГИИ ИМЕНИ ДМИТРИЯ РОГАЧЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ ДГОИ ИМ. ДМИТРИЯ РОГАЧЕВА"" МИНЗДРАВА РОССИИ",7728008953,01.01.22,14.01.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ЭКО"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ЭКО"")",7703764891,"121069, Г МОСКВА 77, ПЕР СТОЛОВЫЙ, ДОМ 6, ЭТАЖ/КОМН 2/207",7-499-9680151,ovakulenko9@gmail.com,
№ 2772030718021000145,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772030718021000145,"3 000 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",7720307180,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА СКБ"" (ООО ""ГРУППА СКБ"")",5249159856,"606008, ОБЛ НИЖЕГОРОДСКАЯ 52, Г ДЗЕРЖИНСК, УЛ ГРИБОЕДОВА, ДОМ 46 Б, ОФИС 2.3",+7 (903) 043-31-31,gr-skb@mail.ru,
№ 3502802358221000090,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3502802358221000090,"10 023 311,90 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""МОЖАЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""","ГБУЗ МО ""МОЖАЙСКАЯ ЦРБ""",5028023582,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК-СТРОЙСТАНДАРТ"" (ООО ""ТК-СТРОЙСТАНДАРТ"")",9731001510,"121357, Г МОСКВА 77, ПР-КТ КУТУЗОВСКИЙ, ДОМ 67, КОРПУС 2, ПОМ V КОМ 6 ОФ 44",7-496-3876460,ooo.tk-strojstandart@mail.ru,
№ 1772800895321000707,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772800895321000707,"1 002 750,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ДЕТСКОЙ ГЕМАТОЛОГИИ, ОНКОЛОГИИ И ИММУНОЛОГИИ ИМЕНИ ДМИТРИЯ РОГАЧЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ ДГОИ ИМ. ДМИТРИЯ РОГАЧЕВА"" МИНЗДРАВА РОССИИ",7728008953,01.01.22,19.01.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСЛЕНИЦА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСЛЕНИЦА"")",7705934309,"141201, ОБЛ МОСКОВСКАЯ 50, Г ПУШКИНО, Ш КУДРИНСКОЕ, ДОМ 6, КОРПУС ГЛ ПРОИЗВ, ОФИС 415",7-499-3222823,zakaz@moloko19.ru,
№ 1773010211021000371,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1773010211021000371,"3 260 000,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ НАУЧНО-КЛИНИЧЕСКИЙ ЦЕНТР СПОРТИВНОЙ МЕДИЦИНЫ И РЕАБИЛИТАЦИИ ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""",ФГБУ ФНКЦСМ ФМБА РОССИИ,7730102110,08.11.21,17.02.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНКОМТОРГ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНКОМТОРГ"")",7448175567,"454008, ОБЛ ЧЕЛЯБИНСКАЯ 74, Г ЧЕЛЯБИНСК, УЛ КОСАРЕВА, ДОМ 2, ОФИС 111",7-953-0545724,inkomtorg74@mail.ru,
№ 3505301286621000032,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3505301286621000032,"2 653 119,00 ₽",КОМИТЕТ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ЭЛЕКТРОСТАЛЬ МОСКОВСКОЙ ОБЛАСТИ,КОМИМУЩЕСТВО,5053012866,08.11.21,31.12.21,Соловьева Софья Валерьевна,505301813612,"144010, Московская область, г. Электросталь, ул. Журавлева, д. 17, кв. 49",7-977-8148852,kronrelt@mail.ru,
№ 1773408769621000236,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1773408769621000236,"10 000 000,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР КОЛОПРОКТОЛОГИИ ИМЕНИ А.Н. РЫЖИХ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ КОЛОПРОКТОЛОГИИ ИМЕНИ А.Н. РЫЖИХ"" МИНЗДРАВА РОССИИ",7734087696,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕНЕССАНС-МЕД"" (ООО ""РЕНЕССАНС-МЕД"")",9717091569,"129164, Г МОСКВА 77, УЛ ЯРОСЛАВСКАЯ, ДОМ 8, КОРПУС 7, ЭТАЖ 2 ПОМ  205/2",8-(909)-442-93-30,info.renessans-med@yandex.ru,
№ 1773606497621000084,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1773606497621000084,"13 690 368,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ ФОНД ФУНДАМЕНТАЛЬНЫХ ИССЛЕДОВАНИЙ""",РФФИ,7736064976,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ПРОТОН"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ПРОТОН"")",1655407039,"420032, РЕСП ТАТАРСТАН 16, Г КАЗАНЬ, УЛ ДЕЛОВАЯ, ДОМ 13, ОФИС 21",7-917-2646795,Sk-proton.kzn@mail.ru,
№ 1772912206321000475,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772912206321000475,"2 099 800,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №1"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №1""",7729122063,09.11.21,28.02.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДСФЕРА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДСФЕРА"")",7728737427,"119049, Г МОСКВА 77, ПР-КТ ЛЕНИНСКИЙ, ДОМ 2А, ЭТАЖ 9 КОМ 909",7-926-5368565,demkin@live.ru,
№ 1772404418921001051,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772404418921001051,"1 421 869,05 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ НАУЧНО-КЛИНИЧЕСКИЙ ЦЕНТР СПЕЦИАЛИЗИРОВАННЫХ ВИДОВ МЕДИЦИНСКОЙ ПОМОЩИ И МЕДИЦИНСКИХ ТЕХНОЛОГИЙ ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""",ФГБУ ФНКЦ ФМБА РОССИИ,7724044189,08.11.21,20.02.23,АРХИНЕВ СЕРГЕЙ ВИКТОРОВИЧИндивидуальный предприниматель,780154221955,Город Санкт-Петербург 78,8-931-3283619,asvbiz2018@gmail.com,
№ 1770613767321000627,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770613767321000627,"1 475 199,90 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ ИМЕНИ А.Н. БАКУЛЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ ССХ ИМ. А.Н. БАКУЛЕВА"" МИНЗДРАВА РОССИИ",7706137673,08.11.21,31.01.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВАТЕКТРЕЙД"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВАТЕКТРЕЙД"")",7714463906,"123290, Г МОСКВА 77, ТУП 1-Й МАГИСТРАЛЬНЫЙ, ДОМ 11, СТРОЕНИЕ 1, Э 1 П II К 1 О 9Н",7-926-1712575,Invatectrade20@gmail.com,
№ 1770613767321000628,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770613767321000628,"1 265 673,31 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ ИМЕНИ А.Н. БАКУЛЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ ССХ ИМ. А.Н. БАКУЛЕВА"" МИНЗДРАВА РОССИИ",7706137673,08.11.21,31.01.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛДЕНХАРТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛДЕНХАРТ"")",9718175684,"107023, Г. МОСКВА 77, УЛ. ЭЛЕКТРОЗАВОДСКАЯ, Д. 52, СТР. 5, ЭТАЖ/ПОМЕЩЕНИЕ 2/8",7-926-8876907,Golden.Heartvz2021@gmail.com,
№ 2772308492921000613,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772308492921000613,"702 120,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 13 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 13 ДЗМ""",7723084929,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСК"" (ООО ""МСК"")",5048054733,"108820, Г МОСКВА 77, ПОС. МОСРЕНТГЕН, П ЗАВОДА МОСРЕНТГЕН, ПРОЕЗД ИНСТИТУТСКИЙ, ДОМ 25, ЭТ/ПОМ/Ч 3/29/ЧАСТЬ",+7 (495) 161-61-19,director@mskmedical.ru,
№ 2772778668621000055,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772778668621000055,"1 899 999,96 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБСЛУЖИВАНИЮ ТЕРРИТОРИЙ ЗЕЛЕНОГО ФОНДА ТРОИЦКОГО И НОВОМОСКОВСКОГО АДМИНИСТРАТИВНЫХ ОКРУГОВ ГОРОДА МОСКВЫ""","ГБУ ""ДО ТЗФ ТИНАО""",7727786686,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИСФЕРА"" (ООО ""АЙТИСФЕРА"")",7719477638,"109544, Г МОСКВА 77, УЛ РАБОЧАЯ, ДОМ 35, ЭТ/ПОМ/КОМ 4/I/4",+7 (499) 350-38-68,it-sfera.komp@yandex.ru,
№ 2507406918021000220,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2507406918021000220,"5 341 462,50 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ПОДОЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""","ГБУЗ МО ""ПОКБ""",5074069180,08.11.21,31.01.22,ЧЕХЛОВА НУРИЯ РАСИХОВНАИндивидуальный предприниматель,772606995714,Г. МОСКВА 77,7-906-6434400,ip.chehlova.nr@gmail.ru,
№ 2772308492921000612,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772308492921000612,"700 241,20 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 13 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 13 ДЗМ""",7723084929,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСК"" (ООО ""МСК"")",5048054733,"108820, Г МОСКВА 77, ПОС. МОСРЕНТГЕН, П ЗАВОДА МОСРЕНТГЕН, ПРОЕЗД ИНСТИТУТСКИЙ, ДОМ 25, ЭТ/ПОМ/Ч 3/29/ЧАСТЬ",+7 (495) 161-61-19,director@mskmedical.ru,
№ 3505001936621000033,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3505001936621000033,"5 750 610,02 ₽","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ЩЁЛКОВО ""СТРОИТЕЛЬСТВО И ИНВЕСТИЦИИ""","МКУ ГОЩ ""СТРОЙИНВЕСТ""",5050019366,08.11.21,31.12.21,ПЕРОВ ИВАН ВЛАДИМИРОВИЧИндивидуальный предприниматель,771537200426,Г МОСКВА 77,7-963-9998881,perovrabota@yandex.ru,
№ 2507406918021000224,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2507406918021000224,"2 678 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ПОДОЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""","ГБУЗ МО ""ПОКБ""",5074069180,08.11.21,31.01.22,ЧЕХЛОВА НУРИЯ РАСИХОВНАИндивидуальный предприниматель,772606995714,Г. МОСКВА 77,7-906-6434400,ip.chehlova.nr@gmail.ru,
№ 2770912396821000421,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912396821000421,"1 266 859,17 ₽",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ МОСКОВСКОЙ ОБЛАСТИ МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЛАСТНОЙ УНИВЕРСИТЕТ,МГОУ,7709123968,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАЙ ТЕК"" (ООО ""ДИАЙ ТЕК"")",7713612168,"125499, Г МОСКВА 77, Б-Р КРОНШТАДТСКИЙ, ДОМ 39, КОРПУС 1, ПОМ/КОМ I / 43/РМ12-8",7-495-5175785,ditech.ru@gmail.com,
№ 2500104093621000203,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2500104093621000203,"1 342 143,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""МОСКОВСКИЙ ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР""","ГБУЗ МО ""МОПЦ""",5001040936,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСЕРВИС"" (ООО ""ЕВРОСЕРВИС"")",7604362486,"150010, ОБЛ ЯРОСЛАВСКАЯ 76, Г ЯРОСЛАВЛЬ, УЛ ЗВЕЗДНАЯ, ДОМ 21, ОФИС 37",7-485-2468663,info@euro-service-yar.ru,
№ 2772784618021000185,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772784618021000185,"2 780 387,30 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ БУТОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ БУТОВО""",7727846180,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХПРОЕКТ-ИНВЕСТ"" (ООО ""ТЕХПРОЕКТ-ИНВЕСТ"")",7726597140,"117556, Г МОСКВА 77, УЛ БОЛОТНИКОВСКАЯ, ДОМ 3, КОРПУС 1",+7 (495) 518-93-46,renatset84@yandex.ru,
№ 2772784618021000184,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772784618021000184,"2 912 472,20 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ БУТОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ БУТОВО""",7727846180,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХПРОЕКТ-ИНВЕСТ"" (ООО ""ТЕХПРОЕКТ-ИНВЕСТ"")",7726597140,"117556, Г МОСКВА 77, УЛ БОЛОТНИКОВСКАЯ, ДОМ 3, КОРПУС 1",+7 (495) 518-93-46,renatset84@yandex.ru,
№ 1772912206321000473,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772912206321000473,"7 360 000,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №1"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА №1""",7729122063,09.11.21,28.02.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДСИТИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДСИТИ"")",7724727273,"117574, Г МОСКВА 77, ПРОЕЗД ОДОЕВСКОГО, ДОМ 3, КОРПУС 7, ЭТ 1 ПОМ II ОФ 35",7-916-3483428,medcity@mail.ru,
№ 4770818317821000028,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=4770818317821000028,"19 328 999,50 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ""РУССКАЯ ГОРНОЛЫЖНАЯ ШКОЛА - СТОЛИЦА"" ДЕПАРТАМЕНТА СПОРТА ГОРОДА МОСКВЫ","ГБУ ""СШОР ""РГШ - СТОЛИЦА"" МОСКОМСПОРТА",7708183178,01.01.22,31.12.23,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
№ 1773310856921001160,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1773310856921001160,"5 096 034,75 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИКО-ХИРУРГИЧЕСКИЙ ЦЕНТР ИМЕНИ Н.И.ПИРОГОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМХЦ ИМ. Н.И. ПИРОГОВА"" МИНЗДРАВА РОССИИ",7733108569,08.11.21,28.02.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ЭКО"" (ООО ""АРТ-ЭКО"")",7703764891,"121069, Г МОСКВА 77, ПЕР СТОЛОВЫЙ, ДОМ 6, ЭТАЖ/КОМН 2/207",84999680151,info@aecmos.com,
№ 2772276542821000798,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772276542821000798,"2 541 089,40 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ИНЖЕНЕРНЫХ СООРУЖЕНИЙ ""ГОРМОСТ""","ГБУ ""ГОРМОСТ""",7722765428,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ ""САНРАЙЗ"" (ООО ""ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ ""САНРАЙЗ"")",7727731373,"117545, Г МОСКВА 77, УЛ ДОРОЖНАЯ, ДОМ 8, КОРПУС 1, КОМНАТА К1-121, ЭТАЖ 1",+7 (495) 221-69-99,info@st-eko.ru,
